Time,radar,fall avg accel,fall burn time,fall dist,burn mass,fall time,ship mass,,,,,,,,,,,,,,,,,,,
80.04000007,1000.014027,27.51903133,5.989882575,355.1522411,830.5868013,14.30436662,4.484053135,,,,,,,,,,,,,,,,,,,
Time,radar,availthrust,thrust,thrust at alt,isp,atsip,mass,atmequiv,press,acc,acc,acc,fall dist,fall time,gravity,ship vertical speed,,acceleration,acceleration thrust,acceleration thrust at,,velocity,a,a after,calc thrust,
90.76000008,450.5317887,95.5422821,95.5422821,95.55839539,167.7618561,167.7580719,4.483130455,0.992469928,0.92467072,V(3.53705266786307,0.005761097, -9.06957335305876),100.2912776,3.688748698,9.792619102,-103.5142558,9.592422219,21.31151058,21.31151058,21.31510478,,-102.7341586,-9.741419843,,,
90.90000008,435.9577941,95.41359711,95.41359711,95.42967224,167.5362854,167.5320892,4.483130455,0.992678127,0.926699277,V(3.53305484670368,0.00561645, -9.07198812428808),108.9962267,3.548790474,9.793095317,-104.8789448,9.43576748,21.2828063,21.2828063,21.286392,,-104.0999609,-9.755730588,,,
91.04000008,421.1928132,95.2835083,95.2835083,95.29954529,167.3082733,167.3036499,4.483130455,0.992889054,0.928758103,V(3.53101708740524,0.005475919, -9.07283333879857),118.0913726,3.408843666,9.793577795,-106.2431048,9.274377841,21.2537889,21.2537889,21.25736608,,-105.4641497,-9.744205525,,,
91.18000008,406.2368429,95.15205383,95.15205383,95.1680603,167.0778351,167.0728149,4.483130455,0.99310271,0.930847273,V(3.52838009049353,0.005338863, -9.07285395954084),127.583761,3.268891683,9.79406654,-107.6073242,9.108002201,21.22446687,21.22446687,21.22803725,,-106.8283593,-9.744354228,,,
91.32000009,391.0900652,95.01924133,95.01924133,95.03520966,166.8450165,166.8395996,4.483130455,0.993319092,0.932967089,V(3.5294171421149,0.005199992, -9.06742086900564),137.4724436,3.128964351,9.794561546,-108.9703178,8.936364815,21.19484193,21.19484193,21.1984038,,-108.191269,-9.73506947,,,
91.46000009,375.7522684,94.88509369,94.88509369,94.90101624,166.6098328,166.6040039,4.483130455,0.993538202,0.935117626,V(3.53063000519314,0.005057043, -9.06883979619112),147.7754785,2.988995119,9.795062821,-110.3349732,8.759154576,21.16491917,21.16491917,21.16847082,,-109.5556911,-9.745872058,,,
91.60000009,360.2235262,94.7496109,94.7496109,94.76550293,166.3723297,166.3661041,4.483130455,0.993760041,0.937298959,V(3.52935442452835,0.004909845, -9.07002800331882),158.4865938,2.849027007,9.795570367,-111.6993857,8.576027601,21.13469859,21.13469859,21.13824344,,-110.919587,-9.74211397,,,
91.74000009,344.5039039,94.61283112,94.61283112,94.62867737,166.1325226,166.1259003,4.483130455,0.993984607,0.939511389,V(3.52858654978866,0.004766595, -9.06967489450075),169.6034647,2.709084817,9.796084181,-113.0622083,8.38659783,21.10418871,21.10418871,21.10772335,,-112.2830167,-9.738783498,,,
91.88000009,328.5933334,94.47476959,94.47476959,94.49056244,165.8904724,165.8834381,4.483130455,0.994211901,0.941754992,V(3.52821468196598,0.004624233, -9.06961763178878),181.1469662,2.569104314,9.796604268,-114.4268583,8.190427856,21.07339292,21.07339292,21.07691565,,-113.646932,-9.742252195,,,
92.02000009,312.4915449,94.33542633,94.33542633,94.35118103,165.6461792,165.6387482,4.483130455,0.994441925,0.944029994,V(3.52704401918534,0.004482605, -9.06826630458496),193.1088858,2.429129536,9.797130632,-115.7908212,7.987018383,21.04231123,21.04231123,21.04582545,,-115.0127745,-9.756017623,,,
